Time,DER571_mag,DER571_loc
1672531200,0,tlx_692_b_h_24
1672531230,5000,tlx_692_b_h_24
1672531260,0,tlx_692_b_h_24
1672531290,0,tlx_692_b_h_24
1672531320,0,tlx_692_b_h_24
1672531350,4497,tlx_692_b_h_24
1672531380,4497,tlx_692_b_h_24
1672531410,4497,tlx_692_b_h_24
1672531440,4497,tlx_692_b_h_24
1672531470,4497,tlx_692_b_h_24
1672531500,4497,tlx_692_b_h_24
1672531530,4497,tlx_692_b_h_24
1672531560,4497,tlx_692_b_h_24
1672531590,4497,tlx_692_b_h_24
1672531620,4497,tlx_692_b_h_24
1672531650,4497,tlx_692_b_h_24
1672531680,4497,tlx_692_b_h_24
1672531710,4497,tlx_692_b_h_24
1672531740,4497,tlx_692_b_h_24
1672531770,4497,tlx_692_b_h_24
