Time,DER_652_a_7_Watts,DER_652_a_7_Vars,DER_652_a_7_loc
1672552795,3064.0,0.0,tlx_652_a_h_7
1672552800,3961.0,0.0,tlx_652_a_h_7
1672552805,3255.0,0.0,tlx_652_a_h_7
1672552810,4551.0,0.0,tlx_652_a_h_7
1672552815,4471.0,0.0,tlx_652_a_h_7
1672552820,3226.0,0.0,tlx_652_a_h_7
1672552825,4057.0,0.0,tlx_652_a_h_7
1672552830,4790.0,0.0,tlx_652_a_h_7
1672552835,4173.0,0.0,tlx_652_a_h_7
1672552840,3603.0,0.0,tlx_652_a_h_7
1672552845,4523.0,0.0,tlx_652_a_h_7
1672552850,3078.0,0.0,tlx_652_a_h_7
1672552855,3744.0,0.0,tlx_652_a_h_7
1672552860,3318.0,0.0,tlx_652_a_h_7
1672552865,4610.0,0.0,tlx_652_a_h_7
1672552870,4325.0,0.0,tlx_652_a_h_7
1672552875,4584.0,0.0,tlx_652_a_h_7
1672552880,3814.0,0.0,tlx_652_a_h_7
1672552885,3827.0,0.0,tlx_652_a_h_7
1672552890,4444.0,0.0,tlx_652_a_h_7
1672552895,3792.0,0.0,tlx_652_a_h_7
1672552900,4239.0,0.0,tlx_652_a_h_7
1672552905,4323.0,0.0,tlx_652_a_h_7
1672552910,4392.0,0.0,tlx_652_a_h_7
1672552915,4498.0,0.0,tlx_652_a_h_7
1672552920,4265.0,0.0,tlx_652_a_h_7
1672552925,4913.0,0.0,tlx_652_a_h_7
1672552930,3148.0,0.0,tlx_652_a_h_7
1672552935,3045.0,0.0,tlx_652_a_h_7
1672552940,4097.0,0.0,tlx_652_a_h_7
1672552945,3019.0,0.0,tlx_652_a_h_7
1672552950,4449.0,0.0,tlx_652_a_h_7
1672552955,3717.0,0.0,tlx_652_a_h_7
1672552960,4776.0,0.0,tlx_652_a_h_7
1672552965,3370.0,0.0,tlx_652_a_h_7
1672552970,4294.0,0.0,tlx_652_a_h_7
1672552975,3812.0,0.0,tlx_652_a_h_7
1672552980,3020.0,0.0,tlx_652_a_h_7
1672552985,4645.0,0.0,tlx_652_a_h_7
1672552990,3252.0,0.0,tlx_652_a_h_7
1672552995,4369.0,0.0,tlx_652_a_h_7
1672553000,4937.0,0.0,tlx_652_a_h_7
1672553005,4159.0,0.0,tlx_652_a_h_7
1672553010,3728.0,0.0,tlx_652_a_h_7
1672553015,4577.0,0.0,tlx_652_a_h_7
1672553020,4631.0,0.0,tlx_652_a_h_7
1672553025,3313.0,0.0,tlx_652_a_h_7
1672553030,3471.0,0.0,tlx_652_a_h_7
1672553035,3002.0,0.0,tlx_652_a_h_7
1672553040,4294.0,0.0,tlx_652_a_h_7
1672553045,3886.0,0.0,tlx_652_a_h_7
1672553050,4165.0,0.0,tlx_652_a_h_7
1672553055,4663.0,0.0,tlx_652_a_h_7
1672553060,4700.0,0.0,tlx_652_a_h_7
1672553065,4097.0,0.0,tlx_652_a_h_7
1672553070,3084.0,0.0,tlx_652_a_h_7
1672553075,3007.0,0.0,tlx_652_a_h_7
1672553080,3756.0,0.0,tlx_652_a_h_7
1672553085,3151.0,0.0,tlx_652_a_h_7
1672553090,4562.0,0.0,tlx_652_a_h_7
1672553095,3478.0,0.0,tlx_652_a_h_7
1672553100,3574.0,0.0,tlx_652_a_h_7
1672553105,3011.0,0.0,tlx_652_a_h_7
1672553110,4248.0,0.0,tlx_652_a_h_7
1672553115,3076.0,0.0,tlx_652_a_h_7
1672553120,4723.0,0.0,tlx_652_a_h_7
1672553125,3494.0,0.0,tlx_652_a_h_7
1672553130,4781.0,0.0,tlx_652_a_h_7
1672553135,3045.0,0.0,tlx_652_a_h_7
1672553140,4443.0,0.0,tlx_652_a_h_7
1672553145,3529.0,0.0,tlx_652_a_h_7
1672553150,4658.0,0.0,tlx_652_a_h_7
1672553155,4081.0,0.0,tlx_652_a_h_7
1672553160,4101.0,0.0,tlx_652_a_h_7
1672553165,3217.0,0.0,tlx_652_a_h_7
1672553170,4345.0,0.0,tlx_652_a_h_7
1672553175,4091.0,0.0,tlx_652_a_h_7
1672553180,4495.0,0.0,tlx_652_a_h_7
1672553185,3693.0,0.0,tlx_652_a_h_7
1672553190,3749.0,0.0,tlx_652_a_h_7
1672553195,3766.0,0.0,tlx_652_a_h_7
1672553200,4396.0,0.0,tlx_652_a_h_7
1672553205,3030.0,0.0,tlx_652_a_h_7
1672553210,4431.0,0.0,tlx_652_a_h_7
1672553215,4356.0,0.0,tlx_652_a_h_7
1672553220,3940.0,0.0,tlx_652_a_h_7
1672553225,3208.0,0.0,tlx_652_a_h_7
1672553230,3655.0,0.0,tlx_652_a_h_7
1672553235,3234.0,0.0,tlx_652_a_h_7
1672553240,3348.0,0.0,tlx_652_a_h_7
1672553245,3904.0,0.0,tlx_652_a_h_7
1672553250,3799.0,0.0,tlx_652_a_h_7
1672553255,4633.0,0.0,tlx_652_a_h_7
1672553260,3411.0,0.0,tlx_652_a_h_7
1672553265,3693.0,0.0,tlx_652_a_h_7
1672553270,3042.0,0.0,tlx_652_a_h_7
1672553275,3036.0,0.0,tlx_652_a_h_7
1672553280,4084.0,0.0,tlx_652_a_h_7
1672553285,4381.0,0.0,tlx_652_a_h_7
1672553290,3633.0,0.0,tlx_652_a_h_7
1672553295,4030.0,0.0,tlx_652_a_h_7
1672553300,4480.0,0.0,tlx_652_a_h_7
1672553305,4526.0,0.0,tlx_652_a_h_7
1672553310,4740.0,0.0,tlx_652_a_h_7
1672553315,3461.0,0.0,tlx_652_a_h_7
1672553320,3492.0,0.0,tlx_652_a_h_7
1672553325,3072.0,0.0,tlx_652_a_h_7
1672553330,4576.0,0.0,tlx_652_a_h_7
1672553335,4021.0,0.0,tlx_652_a_h_7
1672553340,3262.0,0.0,tlx_652_a_h_7
1672553345,3216.0,0.0,tlx_652_a_h_7
1672553350,3447.0,0.0,tlx_652_a_h_7
1672553355,3061.0,0.0,tlx_652_a_h_7
1672553360,3258.0,0.0,tlx_652_a_h_7
1672553365,4528.0,0.0,tlx_652_a_h_7
1672553370,3148.0,0.0,tlx_652_a_h_7
1672553375,4132.0,0.0,tlx_652_a_h_7
1672553380,3982.0,0.0,tlx_652_a_h_7
1672553385,4674.0,0.0,tlx_652_a_h_7
1672553390,4147.0,0.0,tlx_652_a_h_7
1672553395,4969.0,0.0,tlx_652_a_h_7
1672553400,3163.0,0.0,tlx_652_a_h_7
