Time,DER_680_c_16_Watts,DER_680_c_16_Vars,DER_680_c_16_loc
1672552795,3812.0,0.0,tlx_680_c_h_16
1672552800,3409.0,0.0,tlx_680_c_h_16
1672552805,4582.0,0.0,tlx_680_c_h_16
1672552810,4884.0,0.0,tlx_680_c_h_16
1672552815,3241.0,0.0,tlx_680_c_h_16
1672552820,4411.0,0.0,tlx_680_c_h_16
1672552825,3100.0,0.0,tlx_680_c_h_16
1672552830,4689.0,0.0,tlx_680_c_h_16
1672552835,4766.0,0.0,tlx_680_c_h_16
1672552840,3173.0,0.0,tlx_680_c_h_16
1672552845,3593.0,0.0,tlx_680_c_h_16
1672552850,3144.0,0.0,tlx_680_c_h_16
1672552855,3364.0,0.0,tlx_680_c_h_16
1672552860,4465.0,0.0,tlx_680_c_h_16
1672552865,4348.0,0.0,tlx_680_c_h_16
1672552870,4477.0,0.0,tlx_680_c_h_16
1672552875,3760.0,0.0,tlx_680_c_h_16
1672552880,4208.0,0.0,tlx_680_c_h_16
1672552885,3341.0,0.0,tlx_680_c_h_16
1672552890,3232.0,0.0,tlx_680_c_h_16
1672552895,3242.0,0.0,tlx_680_c_h_16
1672552900,3352.0,0.0,tlx_680_c_h_16
1672552905,4275.0,0.0,tlx_680_c_h_16
1672552910,4899.0,0.0,tlx_680_c_h_16
1672552915,3861.0,0.0,tlx_680_c_h_16
1672552920,4763.0,0.0,tlx_680_c_h_16
1672552925,3418.0,0.0,tlx_680_c_h_16
1672552930,4703.0,0.0,tlx_680_c_h_16
1672552935,3619.0,0.0,tlx_680_c_h_16
1672552940,3567.0,0.0,tlx_680_c_h_16
1672552945,3077.0,0.0,tlx_680_c_h_16
1672552950,3240.0,0.0,tlx_680_c_h_16
1672552955,3892.0,0.0,tlx_680_c_h_16
1672552960,3474.0,0.0,tlx_680_c_h_16
1672552965,3555.0,0.0,tlx_680_c_h_16
1672552970,4205.0,0.0,tlx_680_c_h_16
1672552975,3545.0,0.0,tlx_680_c_h_16
1672552980,3416.0,0.0,tlx_680_c_h_16
1672552985,3782.0,0.0,tlx_680_c_h_16
1672552990,4818.0,0.0,tlx_680_c_h_16
1672552995,4734.0,0.0,tlx_680_c_h_16
1672553000,3924.0,0.0,tlx_680_c_h_16
