Time,DER_692_b_2_Watts,DER_692_b_2_Vars,DER_692_b_2_loc
1672552795,3513.0,0.0,tlx_692_b_h_2
1672552800,3363.0,0.0,tlx_692_b_h_2
1672552805,4555.0,0.0,tlx_692_b_h_2
1672552810,3781.0,0.0,tlx_692_b_h_2
1672552815,4071.0,0.0,tlx_692_b_h_2
1672552820,4036.0,0.0,tlx_692_b_h_2
1672552825,4213.0,0.0,tlx_692_b_h_2
1672552830,3239.0,0.0,tlx_692_b_h_2
1672552835,4607.0,0.0,tlx_692_b_h_2
1672552840,4084.0,0.0,tlx_692_b_h_2
1672552845,4554.0,0.0,tlx_692_b_h_2
1672552850,3766.0,0.0,tlx_692_b_h_2
1672552855,4354.0,0.0,tlx_692_b_h_2
1672552860,3307.0,0.0,tlx_692_b_h_2
1672552865,3490.0,0.0,tlx_692_b_h_2
1672552870,4618.0,0.0,tlx_692_b_h_2
1672552875,3675.0,0.0,tlx_692_b_h_2
1672552880,3650.0,0.0,tlx_692_b_h_2
1672552885,4934.0,0.0,tlx_692_b_h_2
1672552890,4474.0,0.0,tlx_692_b_h_2
1672552895,3621.0,0.0,tlx_692_b_h_2
1672552900,3354.0,0.0,tlx_692_b_h_2
1672552905,4843.0,0.0,tlx_692_b_h_2
1672552910,3161.0,0.0,tlx_692_b_h_2
1672552915,3514.0,0.0,tlx_692_b_h_2
1672552920,4610.0,0.0,tlx_692_b_h_2
1672552925,3079.0,0.0,tlx_692_b_h_2
1672552930,3839.0,0.0,tlx_692_b_h_2
1672552935,3345.0,0.0,tlx_692_b_h_2
1672552940,4484.0,0.0,tlx_692_b_h_2
1672552945,3575.0,0.0,tlx_692_b_h_2
1672552950,4323.0,0.0,tlx_692_b_h_2
1672552955,4252.0,0.0,tlx_692_b_h_2
1672552960,4649.0,0.0,tlx_692_b_h_2
1672552965,4597.0,0.0,tlx_692_b_h_2
1672552970,3390.0,0.0,tlx_692_b_h_2
1672552975,4935.0,0.0,tlx_692_b_h_2
1672552980,3203.0,0.0,tlx_692_b_h_2
1672552985,4164.0,0.0,tlx_692_b_h_2
1672552990,4825.0,0.0,tlx_692_b_h_2
1672552995,3857.0,0.0,tlx_692_b_h_2
1672553000,4379.0,0.0,tlx_692_b_h_2
1672553005,3316.0,0.0,tlx_692_b_h_2
1672553010,4041.0,0.0,tlx_692_b_h_2
1672553015,4276.0,0.0,tlx_692_b_h_2
1672553020,3104.0,0.0,tlx_692_b_h_2
1672553025,3403.0,0.0,tlx_692_b_h_2
1672553030,4363.0,0.0,tlx_692_b_h_2
1672553035,3698.0,0.0,tlx_692_b_h_2
1672553040,4039.0,0.0,tlx_692_b_h_2
1672553045,3792.0,0.0,tlx_692_b_h_2
1672553050,3033.0,0.0,tlx_692_b_h_2
1672553055,4238.0,0.0,tlx_692_b_h_2
1672553060,3341.0,0.0,tlx_692_b_h_2
1672553065,3348.0,0.0,tlx_692_b_h_2
1672553070,4243.0,0.0,tlx_692_b_h_2
1672553075,3983.0,0.0,tlx_692_b_h_2
1672553080,3206.0,0.0,tlx_692_b_h_2
1672553085,4845.0,0.0,tlx_692_b_h_2
