Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"N650", 4.16, 1,       2402,   30.0,    1.0001, 2,       2402,  -90.0,    1.0001, 3,    2402.01,  150.0,    1.0001
"N630", 2.4, 1,    1576.09,   29.3,    1.1374, 2,    1575.67,  -90.6,    1.1371, 3,    1576.83,  149.4,     1.138
"N632", 2.4, 1,    1610.19,   28.5,    1.1621, 2,    1607.52,  -91.1,    1.1601, 3,    1612.86,  148.8,     1.164
"N645", 2.4, 2,    1607.51,  -91.1,    1.1601, 3,    1612.85,  148.8,     1.164, 0, 0, 0, 0
"N646", 2.4, 2,    1607.51,  -91.1,    1.1601, 3,    1612.85,  148.8,     1.164, 0, 0, 0, 0
"N6321", 2.4, 1,    1618.77,   28.3,    1.1682, 2,    1615.49,  -91.2,    1.1659, 3,    1621.89,  148.7,    1.1705
"N671", 2.4, 1,    1644.61,   27.7,    1.1869, 2,    1639.46,  -91.5,    1.1832, 3,    1649.02,  148.3,    1.1901
"N680", 2.4, 1,    1644.61,   27.7,    1.1869, 2,    1639.46,  -91.5,    1.1832, 3,    1649.02,  148.3,    1.1901
"N684", 2.4, 1,    1644.61,   27.7,    1.1869, 3,    1649.02,  148.3,    1.1901, 0, 0, 0, 0
"N611", 2.4, 3,    1649.02,  148.3,    1.1901, 0, 0, 0, 0, 0, 0, 0, 0
"N652", 2.4, 1,     1644.6,   27.7,    1.1869, 0, 0, 0, 0, 0, 0, 0, 0
"N692", 2.4, 1,    1644.66,   27.7,    1.1869, 2,    1639.52,  -91.6,    1.1832, 3,    1649.08,  148.3,    1.1901
"N675", 2.4, 1,    1653.32,   27.5,    1.1932, 2,    1647.52,  -91.7,     1.189, 3,    1658.15,  148.2,    1.1967
"N633", 2.4, 1,    1610.19,   28.5,    1.1621, 2,    1607.51,  -91.1,    1.1601, 3,    1612.85,  148.8,     1.164
"METER_652_A", 2.4, 1,     1644.6,   27.7,    1.1869, 0, 0, 0, 0, 0, 0, 0, 0
"METER_611_C", 2.4, 3,    1649.02,  148.3,    1.1901, 0, 0, 0, 0, 0, 0, 0, 0
"METER_684_A", 2.4, 1,    1644.61,   27.7,    1.1869, 0, 0, 0, 0, 0, 0, 0, 0
"METER_684_C", 2.4, 3,    1649.02,  148.3,    1.1901, 0, 0, 0, 0, 0, 0, 0, 0
"METER_645_B", 2.4, 2,    1607.51,  -91.1,    1.1601, 0, 0, 0, 0, 0, 0, 0, 0
"METER_645_C", 2.4, 3,    1612.85,  148.8,     1.164, 0, 0, 0, 0, 0, 0, 0, 0
"METER_633_A", 2.4, 1,    1610.19,   28.5,    1.1621, 0, 0, 0, 0, 0, 0, 0, 0
"METER_633_B", 2.4, 2,    1607.51,  -91.1,    1.1601, 0, 0, 0, 0, 0, 0, 0, 0
"METER_633_C", 2.4, 3,    1612.85,  148.8,     1.164, 0, 0, 0, 0, 0, 0, 0, 0
"METER_632_A", 2.4, 1,    1610.19,   28.5,    1.1621, 0, 0, 0, 0, 0, 0, 0, 0
"METER_632_B", 2.4, 2,    1607.52,  -91.1,    1.1601, 0, 0, 0, 0, 0, 0, 0, 0
"METER_632_C", 2.4, 3,    1612.86,  148.8,     1.164, 0, 0, 0, 0, 0, 0, 0, 0
"METER_692_A", 2.4, 1,    1644.66,   27.7,    1.1869, 0, 0, 0, 0, 0, 0, 0, 0
"METER_692_B", 2.4, 2,    1639.52,  -91.6,    1.1832, 0, 0, 0, 0, 0, 0, 0, 0
"METER_692_C", 2.4, 3,    1649.08,  148.3,    1.1901, 0, 0, 0, 0, 0, 0, 0, 0
"METER_675_A", 2.4, 1,    1653.32,   27.5,    1.1932, 0, 0, 0, 0, 0, 0, 0, 0
"METER_675_B", 2.4, 2,    1647.52,  -91.7,     1.189, 0, 0, 0, 0, 0, 0, 0, 0
"METER_675_C", 2.4, 3,    1658.15,  148.2,    1.1967, 0, 0, 0, 0, 0, 0, 0, 0
"METER_671_A", 2.4, 1,    1644.61,   27.7,    1.1869, 0, 0, 0, 0, 0, 0, 0, 0
"METER_671_B", 2.4, 2,    1639.46,  -91.5,    1.1832, 0, 0, 0, 0, 0, 0, 0, 0
"METER_671_C", 2.4, 3,    1649.02,  148.3,    1.1901, 0, 0, 0, 0, 0, 0, 0, 0
"METER_680_A", 2.4, 1,    1644.61,   27.7,    1.1869, 0, 0, 0, 0, 0, 0, 0, 0
"METER_680_B", 2.4, 2,    1639.46,  -91.5,    1.1832, 0, 0, 0, 0, 0, 0, 0, 0
"METER_680_C", 2.4, 3,    1649.02,  148.3,    1.1901, 0, 0, 0, 0, 0, 0, 0, 0
"XFMR_METER_652_A_1", 2.4, 1,     1644.6,   27.7,    1.1869, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_652_A_1", 0.208, 1,    82.2302,   27.7,   0.68474, 2,    82.2302, -152.3,   0.68474, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_1", 0.208, 1,    82.2302,   27.7,   0.68474, 2,    82.2302, -152.3,   0.68474, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_2", 0.208, 1,    82.2302,   27.7,   0.68474, 2,    82.2302, -152.3,   0.68474, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_3", 0.208, 1,    82.2302,   27.7,   0.68474, 2,    82.2302, -152.3,   0.68474, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_4", 0.208, 1,    82.2302,   27.7,   0.68474, 2,    82.2302, -152.3,   0.68474, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_5", 0.208, 1,    82.2302,   27.7,   0.68474, 2,    82.2302, -152.3,   0.68474, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_6", 0.208, 1,    82.2302,   27.7,   0.68474, 2,    82.2302, -152.3,   0.68474, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_7", 0.208, 1,    82.2302,   27.7,   0.68474, 2,    82.2302, -152.3,   0.68474, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_8", 0.208, 1,    82.2302,   27.7,   0.68474, 2,    82.2302, -152.3,   0.68474, 0, 0, 0, 0
