Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Vsource.SOURCE,    273.107,   -62.53,    272.166,   178.34,    273.888,    58.17,          0,     0.00,    2.35161,  -132.95,    273.107,   117.47,    272.166,    -1.66,    273.888,  -121.83,          0,     0.00,    2.35161,    47.05,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Transformer.TRANS_N650_N630,    273.107,   117.47,    272.166,    -1.66,    273.888,  -121.83,    2.35161,  -132.95, 5.00798E-11,  -151.19,    473.386,   -62.53,    471.755,   178.34,    474.739,    58.17,    4.07613,    47.05, 1.42981E-7,  -136.22,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL630-632,    473.386,   117.47,    471.755,    -1.66,    474.739,  -121.83,          0,     0.00,    4.07613,    47.05,    473.385,   -62.53,    471.753,   178.34,    474.738,    58.17,          0,     0.00,    4.07622,  -132.95,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL632-645,  0.0273576,   178.77,  0.0274447,    58.97,          0,     0.00,          0,     0.00,  0.0274805,   118.71,  0.0276195,    -1.14,  0.0277098,  -121.12,          0,     0.00,          0,     0.00,  0.0276702,   -61.29,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL645-646, 0.000159233,     8.13, 0.000161155,  -130.25,          0,     0.00,          0,     0.00, 0.000113847,   -61.96, 1.46652E-11,    29.74, 1.81899E-11,    53.13,          0,     0.00,          0,     0.00, 3.21812E-11,    42.71,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL632-6321,     473.44,   117.47,    471.836,    -1.66,    474.821,  -121.83,          0,     0.00,    4.06793,    46.69,     473.44,   -62.53,    471.836,   178.34,    474.821,    58.17,          0,     0.00,    4.06795,  -133.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL6321-671,     473.44,   117.47,    471.836,    -1.66,    474.821,  -121.83,          0,     0.00,    4.06795,    46.69,    473.439,   -62.53,    471.835,   178.34,     474.82,    58.17,          0,     0.00,    4.06802,  -133.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL671-680,  0.0277604,   -62.53,  0.0276222,   178.57,   0.027891,    58.37,          0,     0.00, 0.000263295,  -133.74,  0.0284176,   117.67,  0.0283287,    -1.55,  0.0284938,  -121.70,          0,     0.00, 0.000219217,    47.22,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL671-684,  0.0563309,   -62.31,  0.0566956,    58.27,          0,     0.00,          0,     0.00,  0.0560208,    -1.70,  0.0564919,   117.67,  0.0568586,  -121.70,          0,     0.00,          0,     0.00,  0.0561363,   178.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL684-611,  0.0283648,    58.30,          0,     0.00,          0,     0.00,          0,     0.00,  0.0283648,    58.30,  0.0284938,  -121.70,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284938,  -121.70,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.UL684-652,  0.0280743,   -62.33,          0,     0.00,          0,     0.00,          0,     0.00,  0.0280743,   -62.33,  0.0284176,   117.67,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284176,   117.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.UL692-675,     473.58,   117.47,    471.919,    -1.66,    474.962,  -121.83,          0,     0.00,    4.03173,    47.28,    473.579,   -62.53,    471.919,   178.34,    474.961,    58.17,          0,     0.00,    4.03175,  -132.72,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.UL632-633,  0.0277803,   -61.63,  0.0277091,   178.97,  0.0278542,    58.86,          0,     0.00, 0.000147169,  -133.87,  0.0281025,   118.46,  0.0280558,    -1.08,   0.028149,  -121.18,          0,     0.00, 0.000125106,    46.85,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.S671-692,    473.551,   117.47,    471.891,    -1.66,    474.933,  -121.83,          0,     0.00,    4.03151,    47.28,    473.551,   -62.53,    471.891,   178.34,    474.933,    58.17,          0,     0.00,    4.03151,  -132.72,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_652_A,  0.0284176,   -62.33,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284176,   -62.33,   0.028439,   117.67,          0,     0.00,          0,     0.00,          0,     0.00,   0.028439,   117.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_611_C,  0.0284938,    58.30,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284938,    58.30,  0.0285153,  -121.70,          0,     0.00,          0,     0.00,          0,     0.00,  0.0285153,  -121.70,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_684_A,  0.0284176,   -62.33,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284176,   -62.33,   0.028439,   117.67,          0,     0.00,          0,     0.00,          0,     0.00,   0.028439,   117.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_684_C,  0.0284938,    58.30,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284938,    58.30,  0.0285153,  -121.70,          0,     0.00,          0,     0.00,          0,     0.00,  0.0285153,  -121.70,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_645_B,  0.0277767,   178.92,          0,     0.00,          0,     0.00,          0,     0.00,  0.0277767,   178.92,  0.0277976,    -1.08,          0,     0.00,          0,     0.00,          0,     0.00,  0.0277976,    -1.08,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_645_C,  0.0278689,    58.82,          0,     0.00,          0,     0.00,          0,     0.00,  0.0278689,    58.82,    0.02789,  -121.18,          0,     0.00,          0,     0.00,          0,     0.00,    0.02789,  -121.18,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_633_A,  0.0278229,   -61.54,          0,     0.00,          0,     0.00,          0,     0.00,  0.0278229,   -61.54,  0.0278439,   118.46,          0,     0.00,          0,     0.00,          0,     0.00,  0.0278439,   118.46,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_633_B,  0.0277767,   178.92,          0,     0.00,          0,     0.00,          0,     0.00,  0.0277767,   178.92,  0.0277976,    -1.08,          0,     0.00,          0,     0.00,          0,     0.00,  0.0277976,    -1.08,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_633_C,   0.027869,    58.82,          0,     0.00,          0,     0.00,          0,     0.00,   0.027869,    58.82,    0.02789,  -121.18,          0,     0.00,          0,     0.00,          0,     0.00,    0.02789,  -121.18,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_A,  0.0278229,   -61.54,          0,     0.00,          0,     0.00,          0,     0.00,  0.0278229,   -61.54,  0.0278439,   118.46,          0,     0.00,          0,     0.00,          0,     0.00,  0.0278439,   118.46,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_B,  0.0277767,   178.92,          0,     0.00,          0,     0.00,          0,     0.00,  0.0277767,   178.92,  0.0277977,    -1.08,          0,     0.00,          0,     0.00,          0,     0.00,  0.0277977,    -1.08,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_632_C,   0.027869,    58.82,          0,     0.00,          0,     0.00,          0,     0.00,   0.027869,    58.82,    0.02789,  -121.18,          0,     0.00,          0,     0.00,          0,     0.00,    0.02789,  -121.18,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_692_A,  0.0284186,   -62.34,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284186,   -62.34,    0.02844,   117.66,          0,     0.00,          0,     0.00,          0,     0.00,    0.02844,   117.66,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_692_B,  0.0283296,   178.45,          0,     0.00,          0,     0.00,          0,     0.00,  0.0283296,   178.45,   0.028351,    -1.55,          0,     0.00,          0,     0.00,          0,     0.00,   0.028351,    -1.55,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_692_C,  0.0284949,    58.29,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284949,    58.29,  0.0285164,  -121.71,          0,     0.00,          0,     0.00,          0,     0.00,  0.0285164,  -121.71,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_675_A,  0.0285682,   -62.53,          0,     0.00,          0,     0.00,          0,     0.00,  0.0285682,   -62.53,  0.0285898,   117.47,          0,     0.00,          0,     0.00,          0,     0.00,  0.0285898,   117.47,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_675_B,   0.028468,   178.34,          0,     0.00,          0,     0.00,          0,     0.00,   0.028468,   178.34,  0.0284895,    -1.66,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284895,    -1.66,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_675_C,  0.0286516,    58.17,          0,     0.00,          0,     0.00,          0,     0.00,  0.0286516,    58.17,  0.0286732,  -121.83,          0,     0.00,          0,     0.00,          0,     0.00,  0.0286732,  -121.83,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_671_A,  0.0284176,   -62.33,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284176,   -62.33,  0.0284391,   117.67,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284391,   117.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_671_B,  0.0283287,   178.45,          0,     0.00,          0,     0.00,          0,     0.00,  0.0283287,   178.45,  0.0283501,    -1.55,          0,     0.00,          0,     0.00,          0,     0.00,  0.0283501,    -1.55,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_671_C,  0.0284938,    58.30,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284938,    58.30,  0.0285154,  -121.70,          0,     0.00,          0,     0.00,          0,     0.00,  0.0285154,  -121.70,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_680_A,  0.0284176,   -62.33,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284176,   -62.33,   0.028439,   117.67,          0,     0.00,          0,     0.00,          0,     0.00,   0.028439,   117.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_680_B,  0.0283287,   178.45,          0,     0.00,          0,     0.00,          0,     0.00,  0.0283287,   178.45,  0.0283501,    -1.55,          0,     0.00,          0,     0.00,          0,     0.00,  0.0283501,    -1.55,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_680_C,  0.0284938,    58.30,          0,     0.00,          0,     0.00,          0,     0.00,  0.0284938,    58.30,  0.0285153,  -121.70,          0,     0.00,          0,     0.00,          0,     0.00,  0.0285153,  -121.70,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.OL_652_A_XFMR_652_A_1,  0.0056878,   -62.33,          0,     0.00,          0,     0.00,          0,     0.00,  0.0056878,   -62.33, 0.00570925,   117.67,          0,     0.00,          0,     0.00,          0,     0.00, 0.00570925,   117.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_1, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30604E-8,   -62.31, 5.75215E-12,  -161.57, 3.63798E-12,   -90.00,          0,     0.00,          0,     0.00, 7.71732E-12,  -135.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_2, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30595E-8,   -62.35, 2.03369E-12,   153.43, 8.13477E-12,   -63.43,          0,     0.00,          0,     0.00, 6.62122E-12,   -74.05,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_3, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30595E-8,   -62.35, 2.03369E-12,   153.43, 8.13477E-12,   -63.43,          0,     0.00,          0,     0.00, 6.62122E-12,   -74.05,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_4, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30595E-8,   -62.35, 2.03369E-12,   153.43, 8.13477E-12,   -63.43,          0,     0.00,          0,     0.00, 6.62122E-12,   -74.05,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_5, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30595E-8,   -62.35, 2.03369E-12,   153.43, 8.13477E-12,   -63.43,          0,     0.00,          0,     0.00, 6.62122E-12,   -74.05,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_6, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30595E-8,   -62.35, 2.03369E-12,   153.43, 8.13477E-12,   -63.43,          0,     0.00,          0,     0.00, 6.62122E-12,   -74.05,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.TRIP_LINE_652_A_H_7, 1.46446E-6,   117.67, 1.47752E-6,   -62.33,          0,     0.00,          0,     0.00, 1.30595E-8,   -62.35, 2.03369E-12,   153.43, 8.13477E-12,   -63.43,          0,     0.00,          0,     0.00, 6.62122E-12,   -74.05,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
